method_id,family_short,local,global,kmeans,runtime_score,memory_score,stability_median,overall_mean
PCA,linear,0.5074567132662589,0.7027580770175762,0.5496896108206788,0.9998583033883603,0.991381117444644,0.6433135268166096,0.6657548517014871
GLMPCA,linear,0.531259778612163,0.651949832821111,0.6089174964733217,0.9842930200372316,0.9746071524888532,0.6283380253013339,0.6494584276874026
pCMF,linear,0.3867313701561368,0.5452973488708297,0.3176635045736471,0.5026042069385395,0.9730604455276654,0.1561589731092854,0.3048144314445394
ZIFA,linear,0.4890121894158761,0.6401720975632493,0.5488192473653639,0.7659980816521857,0.933574476757142,0.673999358565281,0.6401960460227428
scGBM,linear,0.5416193573455529,0.6719312442573321,0.619152124305037,0.9880037803139912,0.954582357660856,0.631828944810057,0.6612292952743584
SSNMDI,linear,0.2755219951340961,0.3241994824966703,0.266730758858186,0.7210609722103707,0.7402755539306447,0.1283489757314842,0.2588247155943185
tGPLVM,linear,0.3639310616077475,0.5475500834406869,0.3393132312671147,0.910890886012984,0.9362192146354886,0.6462262035048215,0.5392288988298692
VAE,deep,0.4674015254786871,0.5055493950178311,0.4604032134262717,0.9475200089450316,0.927733438273756,0.7531423067743244,0.6687609749941713
scvis,deep,0.6070852578513585,0.7353173891085545,0.5839409281387437,0.3613162400126833,0.97381780319574,0.1837238407264874,0.4027456162164333
VASC,deep,0.5075645495937986,0.6367106437112424,0.5964052983154925,0.4060811215200675,0.955671222448901,0.2392720919935177,0.4118874769800309
SAUCIE,deep,0.4427373038422977,0.6174676289710875,0.3560838415899095,0.9992380469391016,0.9757891099014836,0.1284953173528071,0.3389765317041786
scScope,deep,0.4413166888137593,0.5575111000224625,0.3655855426935524,0.9521141154368372,0.9133535688601334,0.3237324923136432,0.4188993806582431
SCDRHA,deep,0.5319997323408233,0.6910066925480315,0.5188718778524604,0.9045752832262788,0.5062892498654088,0.5822961329173291,0.5706008716857678
scGAE,deep,0.5220747406710486,0.5828678666177501,0.4827543461123558,0.9170793208350828,0.666807275551742,0.2673444803659,0.4210726284247049
DREAM,deep,0.4449436645114304,0.578288297939532,0.4625721309434902,0.8934219566326963,0.7942985167755877,0.3235436553975042,0.4426571028170286
DRA,deep,0.2032679503681033,0.3012807288211149,0.1628000892042154,0.8267488989935681,0.9598833770821812,0.1419303280015415,0.2533899982627054
UMAP,graph,0.5957865069885228,0.6314566903197647,0.5787030536884906,0.9936113792499618,0.9061862458457284,0.7220519657722203,0.7020324184648239
SIMLR,graph,0.5701726284325269,0.5683413368040419,0.6118213617765522,0.6622925247969618,0.3675259205837353,0.779467033975275,0.6763450593541998
PHATE,graph,0.5686017316082013,0.6554083269367512,0.6026995685005394,0.9931611324102574,0.9808039705501868,0.7599223856597612,0.7234169814967952
EDGE,graph,0.4892786262126192,0.5180693200922843,0.4864847730478798,0.8648948226156898,0.3983277516129182,0.6387207073474909,0.5835930721157682
SPDR,graph,0.6091308881853755,0.6376890721367113,0.6051493963156584,0.8109677130866199,0.9385200189987768,0.8100189879941458,0.7400553279056139
IVIS,metric,0.522776027319176,0.6203183422116902,0.5485191477885653,0.993505958886628,0.9295381970455028,0.4683533702780085,0.5626180617269411
PaCMAP,metric,0.2954157800739314,0.3666837378551715,0.3068713903410505,0.9961603460946472,0.9771872503316348,0.1581152240832739,0.3155577092786158
t-SNE,metric,0.5814595153513493,0.5970260528389916,0.6069200273836196,0.9929750473195488,0.9911861838309288,0.780537852726464,0.7411426175706313
TriMap,metric,0.6032353265399039,0.6994661169262986,0.6135668201808979,0.998206875584548,0.9765433241464891,0.8205474864344582,0.7681472501279613
SQuaD-MDS,metric,0.5398925997396424,0.7864235049042944,0.4533303667745416,0.9800019541209342,0.976455675889568,0.4752298654418079,0.5622242072080099
