method_id,family_short,memory_score,global,overall_mean
PCA,linear,0.991381117444644,0.7027580770175762,0.6657548517014871
GLMPCA,linear,0.9746071524888532,0.651949832821111,0.6494584276874026
pCMF,linear,0.9730604455276654,0.5452973488708297,0.3048144314445394
ZIFA,linear,0.933574476757142,0.6401720975632493,0.6401960460227428
scGBM,linear,0.954582357660856,0.6719312442573321,0.6612292952743584
SSNMDI,linear,0.7402755539306447,0.3241994824966703,0.2588247155943185
tGPLVM,linear,0.9362192146354886,0.5475500834406869,0.5392288988298692
VAE,deep,0.927733438273756,0.5055493950178311,0.6687609749941713
scvis,deep,0.97381780319574,0.7353173891085545,0.4027456162164333
VASC,deep,0.955671222448901,0.6367106437112424,0.4118874769800309
SAUCIE,deep,0.9757891099014836,0.6174676289710875,0.3389765317041786
scScope,deep,0.9133535688601334,0.5575111000224625,0.4188993806582431
SCDRHA,deep,0.5062892498654088,0.6910066925480315,0.5706008716857678
scGAE,deep,0.666807275551742,0.5828678666177501,0.4210726284247049
DREAM,deep,0.7942985167755877,0.578288297939532,0.4426571028170286
DRA,deep,0.9598833770821812,0.3012807288211149,0.2533899982627054
UMAP,graph,0.9061862458457284,0.6314566903197647,0.7020324184648239
SIMLR,graph,0.3675259205837353,0.5683413368040419,0.6763450593541998
PHATE,graph,0.9808039705501868,0.6554083269367512,0.7234169814967952
EDGE,graph,0.3983277516129182,0.5180693200922843,0.5835930721157682
SPDR,graph,0.9385200189987768,0.6376890721367113,0.7400553279056139
IVIS,metric,0.9295381970455028,0.6203183422116902,0.5626180617269411
PaCMAP,metric,0.9771872503316348,0.3666837378551715,0.3155577092786158
t-SNE,metric,0.9911861838309288,0.5970260528389916,0.7411426175706313
TriMap,metric,0.9765433241464891,0.6994661169262986,0.7681472501279613
SQuaD-MDS,metric,0.976455675889568,0.7864235049042944,0.5622242072080099
