method_id,family_short,runtime_score,local,overall_mean
PCA,linear,0.9998583033883603,0.5074567132662589,0.6657548517014871
GLMPCA,linear,0.9842930200372316,0.531259778612163,0.6494584276874026
pCMF,linear,0.5026042069385395,0.3867313701561368,0.3048144314445394
ZIFA,linear,0.7659980816521857,0.4890121894158761,0.6401960460227428
scGBM,linear,0.9880037803139912,0.5416193573455529,0.6612292952743584
SSNMDI,linear,0.7210609722103707,0.2755219951340961,0.2588247155943185
tGPLVM,linear,0.910890886012984,0.3639310616077475,0.5392288988298692
VAE,deep,0.9475200089450316,0.4674015254786871,0.6687609749941713
scvis,deep,0.3613162400126833,0.6070852578513585,0.4027456162164333
VASC,deep,0.4060811215200675,0.5075645495937986,0.4118874769800309
SAUCIE,deep,0.9992380469391016,0.4427373038422977,0.3389765317041786
scScope,deep,0.9521141154368372,0.4413166888137593,0.4188993806582431
SCDRHA,deep,0.9045752832262788,0.5319997323408233,0.5706008716857678
scGAE,deep,0.9170793208350828,0.5220747406710486,0.4210726284247049
DREAM,deep,0.8934219566326963,0.4449436645114304,0.4426571028170286
DRA,deep,0.8267488989935681,0.2032679503681033,0.2533899982627054
UMAP,graph,0.9936113792499618,0.5957865069885228,0.7020324184648239
SIMLR,graph,0.6622925247969618,0.5701726284325269,0.6763450593541998
PHATE,graph,0.9931611324102574,0.5686017316082013,0.7234169814967952
EDGE,graph,0.8648948226156898,0.4892786262126192,0.5835930721157682
SPDR,graph,0.8109677130866199,0.6091308881853755,0.7400553279056139
IVIS,metric,0.993505958886628,0.522776027319176,0.5626180617269411
PaCMAP,metric,0.9961603460946472,0.2954157800739314,0.3155577092786158
t-SNE,metric,0.9929750473195488,0.5814595153513493,0.7411426175706313
TriMap,metric,0.998206875584548,0.6032353265399039,0.7681472501279613
SQuaD-MDS,metric,0.9800019541209342,0.5398925997396424,0.5622242072080099
