criterion,rank,method_id,score,source,workflow_delta,hvg_ari_iqr
local,1.0,SPDR,0.6091308881853755,criterion_ranks,,
local,2.0,scvis,0.6070852578513585,criterion_ranks,,
local,3.0,SQuaD-MDS hybrid,0.6051404684878344,criterion_ranks,,
local,4.0,TriMap,0.6032353265399039,criterion_ranks,,
local,5.0,UMAP,0.5957865069885228,criterion_ranks,,
global,1.0,SQuaD-MDS,0.7864235049042944,criterion_ranks,,
global,2.0,scvis,0.7353173891085545,criterion_ranks,,
global,3.0,SQuaD-MDS hybrid,0.7028448367836448,criterion_ranks,,
global,4.0,PCA,0.7027580770175762,criterion_ranks,,
global,5.0,TriMap,0.6994661169262986,criterion_ranks,,
kmeans,1.0,scGBM,0.619152124305037,criterion_ranks,,
kmeans,2.0,TriMap,0.6135668201808979,criterion_ranks,,
kmeans,3.0,SIMLR,0.6118213617765522,criterion_ranks,,
kmeans,4.0,GLMPCA,0.6089174964733217,criterion_ranks,,
kmeans,5.0,t-SNE,0.6069200273836196,criterion_ranks,,
runtime_score,1.0,PCA,0.9998583033883603,criterion_ranks,,
runtime_score,2.0,SAUCIE,0.9992380469391016,criterion_ranks,,
runtime_score,3.0,TriMap,0.998206875584548,criterion_ranks,,
runtime_score,4.0,PaCMAP,0.9961603460946472,criterion_ranks,,
runtime_score,5.0,UMAP,0.9936113792499618,criterion_ranks,,
memory_score,1.0,PCA,0.991381117444644,criterion_ranks,,
memory_score,2.0,t-SNE,0.9911861838309288,criterion_ranks,,
memory_score,3.0,PHATE,0.9808039705501868,criterion_ranks,,
memory_score,4.0,PaCMAP,0.9771872503316348,criterion_ranks,,
memory_score,5.0,TriMap,0.9765433241464891,criterion_ranks,,
stability_median,1.0,TriMap,0.8237615995564432,criterion_ranks,,
stability_median,2.0,SPDR,0.8189764504787866,criterion_ranks,,
stability_median,3.0,t-SNE,0.7848551977001316,criterion_ranks,,
stability_median,4.0,SIMLR,0.7839826480835557,criterion_ranks,,
stability_median,5.0,PHATE,0.7749988779566965,criterion_ranks,,
overall_mean,1.0,TriMap,0.7303084831714524,criterion_ranks,,
overall_mean,2.0,t-SNE,0.7151081186425112,criterion_ranks,,
overall_mean,3.0,PHATE,0.7056653039261438,criterion_ranks,,
overall_mean,4.0,scGBM,0.6907233483152786,criterion_ranks,,
overall_mean,5.0,SPDR,0.689972298400416,criterion_ranks,,
,,PaCMAP,,workflow_delta,-0.0005608877706075877,
,,PHATE,,workflow_delta,0.006611129380934555,
,,t-SNE,,workflow_delta,0.197900045058786,
,,UMAP,,workflow_delta,0.3461532616972747,
,,GLMPCA,,hvg_iqr,,0.21895209391605433
,,PCA,,hvg_iqr,,0.3189638482217717
,,UMAP,,hvg_iqr,,0.3700101568023417
,,scGBM,,hvg_iqr,,0.43250102112992017
,,t-SNE,,hvg_iqr,,0.4954545959785124
,,scVI,,hvg_iqr,,0.7442166801342632
