method_id,local,global,kmeans,louvain,spectral,runtime_score,memory_score,stability_median,overall_mean,cell_number,gene_number,celltype_number,dropout,batch_number,batch_strength,de_prob,de_strength,out,family
PCA,0.5074567132662589,0.7027580770175762,0.5496896108206788,0.4621337140884416,0.5230260262818601,0.9998583033883603,0.991381117444644,0.6433135268166096,0.6657548517014871,0.616455363476588,0.701153535610611,0.5061927877835251,0.6179425051771087,0.6370603464473887,0.6433135268166096,0.7168465228064798,0.7475051254619544,0.729304351335709,linear/probabilistic
GLMPCA,0.531259778612163,0.651949832821111,0.6089174964733217,0.4950788781599343,0.5962206489334149,0.9842930200372316,0.9746071524888532,0.6283380253013339,0.6494584276874026,0.573507819771753,0.6860977816362185,0.4885715914178216,0.6283380253013339,0.5976497439306158,0.44653118479175485,0.7020876304536972,0.7159939504426038,0.7102303077266148,linear/probabilistic
pCMF,0.3867313701561368,0.5452973488708297,0.3176635045736471,0.3064718084454326,0.3241400930619523,0.5026042069385395,0.9730604455276654,0.15615897310928542,0.3048144314445394,0.16923663777801776,0.1088272467791159,0.15721238140260074,0.15615897310928542,0.10994831884637044,0.31329591486769387,0.11010967394982836,0.3030845589041862,0.09318841990132903,linear/probabilistic
ZIFA,0.4890121894158761,0.6401720975632493,0.5488192473653639,0.4688295402538032,0.5416161647270089,0.7659980816521857,0.933574476757142,0.673999358565281,0.6401960460227428,0.6097001344232774,0.6921109775991681,0.45042179521533726,0.673999358565281,0.6306609855427232,0.6138883905653001,0.7122775690719275,0.7494171728222515,0.7226385548239901,linear/probabilistic
scGBM,0.5416193573455529,0.6719312442573321,0.619152124305037,0.5112216359155829,0.6098358274773855,0.9880037803139912,0.954582357660856,0.631828944810057,0.6612292952743584,0.5899547568751836,0.6689837489050527,0.4703381460364417,0.631828944810057,0.6129803794053647,0.6245526577221584,0.6785472695245313,0.7112248120683613,0.6949116817668466,linear/probabilistic
SSNMDI,0.2755219951340961,0.3241994824966703,0.266730758858186,0.2717893108939476,0.2427437391087013,0.7210609722103707,0.7402755539306447,0.12834897573148427,0.2588247155943185,0.18103315080339952,0.12449866194647397,0.1777065006922351,0.12834897573148427,0.14752810678542222,0.21242091630693732,0.1221004681041323,0.09924217644668412,0.10599468005971195,linear/probabilistic
tGPLVM,0.3639310616077475,0.5475500834406869,0.3393132312671147,0.2963606005888994,0.3309422329875315,0.910890886012984,0.9362192146354886,0.6462262035048215,0.5392288988298692,0.5456419161647857,0.6642416244269096,0.18441439879532004,0.3417613703557104,0.6462262035048215,0.4592160902056647,0.6700873729382745,0.6692129522502144,0.7216531420957536,linear/probabilistic
VAE,0.4674015254786871,0.5055493950178311,0.4604032134262717,0.4152707773285628,0.4736836636253245,0.9475200089450316,0.927733438273756,0.7531423067743244,0.6687609749941713,0.5682655393870434,0.7811840722340656,0.761322953186834,0.6514191590973684,0.7068323376386827,0.7376971924369837,0.7531423067743244,0.7733515150444907,0.7693985020114843,deep generative/autoencoder
scvis,0.6070852578513585,0.7353173891085545,0.5839409281387437,0.4908234852803262,0.583473067261674,0.3613162400126833,0.97381780319574,0.18372384072648745,0.40274561621643334,0.2117396279888581,0.1524726425462599,0.18372384072648745,0.18798753019540282,0.17519261007841963,0.5199001047311467,0.14438206406810639,0.44258468494519143,0.0901725833339809,deep generative/autoencoder
VASC,0.5075645495937986,0.6367106437112424,0.5964052983154925,0.4803515729959036,0.5560627043271175,0.4060811215200675,0.955671222448901,0.2392720919935177,0.4118874769800309,0.2236982651178752,0.25569608156061274,0.37511999142285457,0.19772589837738774,0.24094011462369572,0.46031295296881647,0.2392720919935177,0.22780276960947132,0.23078435309374043,deep generative/autoencoder
SAUCIE,0.4427373038422977,0.6174676289710875,0.3560838415899095,0.3338509220477925,0.365687803452045,0.9992380469391016,0.9757891099014836,0.12849531735280711,0.3389765317041786,0.17108629442177975,0.12149123537701847,0.12849531735280711,0.1425288163931026,0.12116654272533492,0.2685471531336302,0.12805013548788097,0.1372795516988535,0.11412480393273258,deep generative/autoencoder
scScope,0.4413166888137593,0.5575111000224625,0.3655855426935524,0.3417279068528242,0.3788985131838598,0.9521141154368372,0.9133535688601334,0.32373249231364326,0.41889938065824317,0.41454710450142856,0.4129631334843422,0.18433281553317615,0.21673386488980845,0.14588706352384234,0.3483898456811489,0.32373249231364326,0.553084679125307,0.1522116556157649,deep generative/autoencoder
SCDRHA,0.5319997323408233,0.6910066925480315,0.5188718778524604,0.4581103639138628,0.4925694614430029,0.9045752832262788,0.5062892498654088,0.5822961329173291,0.5706008716857678,0.41690026332038693,0.6076885877464806,0.5049396402344675,0.4334723283056567,0.5809405170466084,0.5822961329173291,0.6181902576222604,0.6701787456676113,0.6115848129216148,deep generative/autoencoder
scGAE,0.5220747406710486,0.5828678666177501,0.4827543461123558,0.4772822399417915,0.506410405508724,0.9170793208350828,0.666807275551742,0.2673444803659,0.42107262842470494,0.2211997949101027,0.35651502566120746,0.1515441051291794,0.2673444803659,0.20814699631111172,0.3050483666065271,0.4754572927288455,0.43966630300619636,0.15696349483771505,deep generative/autoencoder
DREAM,0.4449436645114304,0.578288297939532,0.4625721309434902,0.4097234622564074,0.4680473162542483,0.8934219566326963,0.7942985167755877,0.32354365539750424,0.4426571028170286,0.38687099649410356,0.32354365539750424,0.18110349991318148,0.2134687825421119,0.257775928128298,0.368884767479779,0.4949174840828475,0.6141487135099762,0.19050447221126238,deep generative/autoencoder
DRA,0.2032679503681033,0.3012807288211149,0.1628000892042154,0.1481927539176749,0.1630912245308264,0.8267488989935681,0.9598833770821812,0.14193032800154154,0.2533899982627054,0.18192140756381064,0.1373449176630851,0.1875914892994396,0.15157026646268204,0.147953049652695,0.10078535804025493,0.14193032800154154,0.11764188135416494,0.12223625124792861,deep generative/autoencoder
UMAP,0.5957865069885228,0.6314566903197647,0.5787030536884906,0.4999207162134989,0.582214695749356,0.9936113792499618,0.9061862458457284,0.7220519657722203,0.7020324184648239,0.6089159144944561,0.792892252378319,0.6422903630249431,0.7363175599173759,0.7220519657722203,0.759190084739045,0.6901080755128179,0.6963852222777615,0.7964879692649194,graph/diffusion
SIMLR,0.5701726284325269,0.5683413368040419,0.6118213617765522,0.5345937007100237,0.5765694781903007,0.6622925247969618,0.3675259205837353,0.779467033975275,0.6763450593541998,0.6463512875046347,0.8339158577271562,0.750278846631177,0.7406136202267539,0.7423980902247473,0.8242509485181703,0.779467033975275,0.7800808996620665,0.8328474139030719,graph/diffusion
PHATE,0.5686017316082013,0.6554083269367512,0.6026995685005394,0.4922520682469142,0.5773967551996035,0.9931611324102574,0.9808039705501868,0.7599223856597612,0.7234169814967952,0.6429055983048865,0.7826248320961792,0.749372778976643,0.6941392720671452,0.7599223856597612,0.7671821605766802,0.7579157810107363,0.7724421003249077,0.7778432414793324,graph/diffusion
EDGE,0.4892786262126192,0.5180693200922843,0.4864847730478798,0.4551393288661315,0.4828766031751619,0.8648948226156898,0.3983277516129182,0.6387207073474909,0.5835930721157682,0.5604993384057282,0.7081746564497402,0.4188429835647847,0.5626324737591465,0.6190506010744925,0.6387207073474909,0.6944008778792343,0.6764602885499007,0.7636360011990888,graph/diffusion
SPDR,0.6091308881853755,0.6376890721367113,0.6051493963156584,0.5092824021856938,0.5900624458157059,0.8109677130866199,0.9385200189987768,0.8100189879941458,0.7400553279056139,0.6548306863329899,0.8167994271478541,0.8100189879941458,0.7894464974567726,0.8324435837852139,0.8177397470383436,0.7926978560829233,0.8089075695904608,0.8171989543365763,graph/diffusion
IVIS,0.522776027319176,0.6203183422116902,0.5485191477885653,0.4732902158297239,0.5624134811145792,0.993505958886628,0.9295381970455028,0.46835337027800855,0.5626180617269411,0.46835337027800855,0.5682257415122134,0.22181234781823309,0.5182357373670781,0.43414914980206837,0.4331397983287862,0.6317294930547971,0.6855678435255076,0.3903141357484999,metric/structure-aware
