method_raw,method_id,parent_method,score_domain,score,source_file
DRA,DRA,DRA,local,0.2032679503681033,metric\score\local\local.csv
DREAM,DREAM,DREAM,local,0.4449436645114304,metric\score\local\local.csv
EDGE,EDGE,EDGE,local,0.4892786262126192,metric\score\local\local.csv
GLMPCA,GLMPCA,GLMPCA,local,0.531259778612163,metric\score\local\local.csv
PCA,PCA,PCA,local,0.5074567132662589,metric\score\local\local.csv
PHATE,PHATE,PHATE,local,0.5686017316082013,metric\score\local\local.csv
PaCMAP,PaCMAP,PaCMAP,local,0.2954157800739314,metric\score\local\local.csv
ParametricUMAP200,Parametric UMAP 200,UMAP,local,0.5951516502507292,metric\score\local\local.csv
ParametricUMAP50,Parametric UMAP 50,UMAP,local,0.5905102957431956,metric\score\local\local.csv
SAUCIE,SAUCIE,SAUCIE,local,0.4427373038422977,metric\score\local\local.csv
SCDRHA,SCDRHA,SCDRHA,local,0.5319997323408233,metric\score\local\local.csv
SIMLR,SIMLR,SIMLR,local,0.5701726284325269,metric\score\local\local.csv
SPDR,SPDR,SPDR,local,0.6091308881853755,metric\score\local\local.csv
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,local,0.5398925997396424,metric\score\local\local.csv
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,local,0.6051404684878344,metric\score\local\local.csv
SSNMDI,SSNMDI,SSNMDI,local,0.2755219951340961,metric\score\local\local.csv
TSNE,t-SNE,t-SNE,local,0.5814595153513493,metric\score\local\local.csv
TriMap,TriMap,TriMap,local,0.6032353265399039,metric\score\local\local.csv
UMAP,UMAP,UMAP,local,0.5957865069885228,metric\score\local\local.csv
VAE,VAE,VAE,local,0.4674015254786871,metric\score\local\local.csv
VASC,VASC,VASC,local,0.5075645495937986,metric\score\local\local.csv
ZIFA,ZIFA,ZIFA,local,0.4890121894158761,metric\score\local\local.csv
ivis,IVIS,IVIS,local,0.522776027319176,metric\score\local\local.csv
pCMF,pCMF,pCMF,local,0.3867313701561368,metric\score\local\local.csv
scGAE,scGAE,scGAE,local,0.5220747406710486,metric\score\local\local.csv
scGBM,scGBM,scGBM,local,0.5416193573455529,metric\score\local\local.csv
scScope,scScope,scScope,local,0.4413166888137593,metric\score\local\local.csv
scvis,scvis,scvis,local,0.6070852578513585,metric\score\local\local.csv
tGPLVM,tGPLVM,tGPLVM,local,0.3639310616077475,metric\score\local\local.csv
DRA,DRA,DRA,global,0.3012807288211149,metric\score\global\global.csv
DREAM,DREAM,DREAM,global,0.578288297939532,metric\score\global\global.csv
EDGE,EDGE,EDGE,global,0.5180693200922843,metric\score\global\global.csv
GLMPCA,GLMPCA,GLMPCA,global,0.651949832821111,metric\score\global\global.csv
PCA,PCA,PCA,global,0.7027580770175762,metric\score\global\global.csv
PHATE,PHATE,PHATE,global,0.6554083269367512,metric\score\global\global.csv
PaCMAP,PaCMAP,PaCMAP,global,0.3666837378551715,metric\score\global\global.csv
ParametricUMAP200,Parametric UMAP 200,UMAP,global,0.6447870416650552,metric\score\global\global.csv
ParametricUMAP50,Parametric UMAP 50,UMAP,global,0.653867130313502,metric\score\global\global.csv
SAUCIE,SAUCIE,SAUCIE,global,0.6174676289710875,metric\score\global\global.csv
SCDRHA,SCDRHA,SCDRHA,global,0.6910066925480315,metric\score\global\global.csv
SIMLR,SIMLR,SIMLR,global,0.5683413368040419,metric\score\global\global.csv
SPDR,SPDR,SPDR,global,0.6376890721367113,metric\score\global\global.csv
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,global,0.7864235049042944,metric\score\global\global.csv
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,global,0.7028448367836448,metric\score\global\global.csv
SSNMDI,SSNMDI,SSNMDI,global,0.3241994824966703,metric\score\global\global.csv
TSNE,t-SNE,t-SNE,global,0.5970260528389916,metric\score\global\global.csv
TriMap,TriMap,TriMap,global,0.6994661169262986,metric\score\global\global.csv
UMAP,UMAP,UMAP,global,0.6314566903197647,metric\score\global\global.csv
VAE,VAE,VAE,global,0.5055493950178311,metric\score\global\global.csv
VASC,VASC,VASC,global,0.6367106437112424,metric\score\global\global.csv
ZIFA,ZIFA,ZIFA,global,0.6401720975632493,metric\score\global\global.csv
ivis,IVIS,IVIS,global,0.6203183422116902,metric\score\global\global.csv
pCMF,pCMF,pCMF,global,0.5452973488708297,metric\score\global\global.csv
scGAE,scGAE,scGAE,global,0.5828678666177501,metric\score\global\global.csv
scGBM,scGBM,scGBM,global,0.6719312442573321,metric\score\global\global.csv
scScope,scScope,scScope,global,0.5575111000224625,metric\score\global\global.csv
scvis,scvis,scvis,global,0.7353173891085545,metric\score\global\global.csv
tGPLVM,tGPLVM,tGPLVM,global,0.5475500834406869,metric\score\global\global.csv
DRA,DRA,DRA,kmeans,0.1628000892042154,metric\score\cluster\kmeans.csv
DREAM,DREAM,DREAM,kmeans,0.4625721309434902,metric\score\cluster\kmeans.csv
EDGE,EDGE,EDGE,kmeans,0.4864847730478798,metric\score\cluster\kmeans.csv
GLMPCA,GLMPCA,GLMPCA,kmeans,0.6089174964733217,metric\score\cluster\kmeans.csv
PCA,PCA,PCA,kmeans,0.5496896108206788,metric\score\cluster\kmeans.csv
PHATE,PHATE,PHATE,kmeans,0.6026995685005394,metric\score\cluster\kmeans.csv
PaCMAP,PaCMAP,PaCMAP,kmeans,0.3068713903410505,metric\score\cluster\kmeans.csv
ParametricUMAP200,Parametric UMAP 200,UMAP,kmeans,0.5900427765330678,metric\score\cluster\kmeans.csv
ParametricUMAP50,Parametric UMAP 50,UMAP,kmeans,0.5894005891627251,metric\score\cluster\kmeans.csv
SAUCIE,SAUCIE,SAUCIE,kmeans,0.3560838415899095,metric\score\cluster\kmeans.csv
SCDRHA,SCDRHA,SCDRHA,kmeans,0.5188718778524604,metric\score\cluster\kmeans.csv
SIMLR,SIMLR,SIMLR,kmeans,0.6118213617765522,metric\score\cluster\kmeans.csv
SPDR,SPDR,SPDR,kmeans,0.6051493963156584,metric\score\cluster\kmeans.csv
SQuaD_MDS,SQuaD-MDS,SQuaD-MDS,kmeans,0.4533303667745416,metric\score\cluster\kmeans.csv
SQuaD_MDS_hybrid,SQuaD-MDS hybrid,SQuaD-MDS,kmeans,0.5347434549000083,metric\score\cluster\kmeans.csv
SSNMDI,SSNMDI,SSNMDI,kmeans,0.266730758858186,metric\score\cluster\kmeans.csv
TSNE,t-SNE,t-SNE,kmeans,0.6069200273836196,metric\score\cluster\kmeans.csv
TriMap,TriMap,TriMap,kmeans,0.6135668201808979,metric\score\cluster\kmeans.csv
UMAP,UMAP,UMAP,kmeans,0.5787030536884906,metric\score\cluster\kmeans.csv
VAE,VAE,VAE,kmeans,0.4604032134262717,metric\score\cluster\kmeans.csv
VASC,VASC,VASC,kmeans,0.5964052983154925,metric\score\cluster\kmeans.csv
ZIFA,ZIFA,ZIFA,kmeans,0.5488192473653639,metric\score\cluster\kmeans.csv
ivis,IVIS,IVIS,kmeans,0.5485191477885653,metric\score\cluster\kmeans.csv
