method_id,local,global,kmeans,louvain,spectral,runtime_score,memory_score,stability_median,overall_mean,source,method_raw,parent_method,score_domain,score,method_order
PCA,,,,,,,,,,score_long,PCA,PCA,global,0.7027580770175762,0
PCA,,,,,,,,,,score_long,PCA,PCA,kmeans,0.5496896108206788,0
PCA,,,,,,,,,,score_long,PCA,PCA,local,0.5074567132662589,0
PCA,,,,,,,,,,score_long,PCA,PCA,louvain,0.4621337140884416,0
PCA,,,,,,,,,,score_long,PCA,PCA,memory_score,0.991381117444644,0
PCA,,,,,,,,,,score_long,PCA,PCA,runtime_score,0.9998583033883603,0
PCA,,,,,,,,,,score_long,PCA,PCA,spectral,0.5230260262818601,0
PCA,,,,,,,,,,score_long,PCA,PCA,stability_median,0.6483941740179835,0
GLMPCA,,,,,,,,,,score_long,GLMPCA,GLMPCA,global,0.651949832821111,1
GLMPCA,,,,,,,,,,score_long,GLMPCA,GLMPCA,kmeans,0.6089174964733217,1
GLMPCA,,,,,,,,,,score_long,GLMPCA,GLMPCA,local,0.531259778612163,1
GLMPCA,,,,,,,,,,score_long,GLMPCA,GLMPCA,louvain,0.4950788781599343,1
GLMPCA,,,,,,,,,,score_long,GLMPCA,GLMPCA,memory_score,0.9746071524888532,1
GLMPCA,,,,,,,,,,score_long,GLMPCA,GLMPCA,runtime_score,0.9842930200372316,1
GLMPCA,,,,,,,,,,score_long,GLMPCA,GLMPCA,spectral,0.5962206489334149,1
GLMPCA,,,,,,,,,,score_long,GLMPCA,GLMPCA,stability_median,0.6186487496708308,1
pCMF,,,,,,,,,,score_long,pCMF,pCMF,global,0.5452973488708297,2
pCMF,,,,,,,,,,score_long,pCMF,pCMF,kmeans,0.3176635045736471,2
pCMF,,,,,,,,,,score_long,pCMF,pCMF,local,0.3867313701561368,2
pCMF,,,,,,,,,,score_long,pCMF,pCMF,louvain,0.3064718084454326,2
pCMF,,,,,,,,,,score_long,pCMF,pCMF,memory_score,0.9730604455276654,2
pCMF,,,,,,,,,,score_long,pCMF,pCMF,runtime_score,0.5026042069385395,2
pCMF,,,,,,,,,,score_long,pCMF,pCMF,spectral,0.3241400930619523,2
pCMF,,,,,,,,,,score_long,pCMF,pCMF,stability_median,0.1325848821346411,2
ZIFA,,,,,,,,,,score_long,ZIFA,ZIFA,global,0.6401720975632493,3
ZIFA,,,,,,,,,,score_long,ZIFA,ZIFA,kmeans,0.5488192473653639,3
ZIFA,,,,,,,,,,score_long,ZIFA,ZIFA,local,0.4890121894158761,3
ZIFA,,,,,,,,,,score_long,ZIFA,ZIFA,louvain,0.4688295402538032,3
ZIFA,,,,,,,,,,score_long,ZIFA,ZIFA,memory_score,0.933574476757142,3
ZIFA,,,,,,,,,,score_long,ZIFA,ZIFA,runtime_score,0.7659980816521857,3
ZIFA,,,,,,,,,,score_long,ZIFA,ZIFA,spectral,0.5416161647270089,3
ZIFA,,,,,,,,,,score_long,ZIFA,ZIFA,stability_median,0.6658250217671839,3
scGBM,,,,,,,,,,score_long,scGBM,scGBM,global,0.6719312442573321,4
scGBM,,,,,,,,,,score_long,scGBM,scGBM,kmeans,0.619152124305037,4
scGBM,,,,,,,,,,score_long,scGBM,scGBM,local,0.5416193573455529,4
scGBM,,,,,,,,,,score_long,scGBM,scGBM,louvain,0.5112216359155829,4
scGBM,,,,,,,,,,score_long,scGBM,scGBM,memory_score,0.954582357660856,4
scGBM,,,,,,,,,,score_long,scGBM,scGBM,runtime_score,0.9880037803139912,4
scGBM,,,,,,,,,,score_long,scGBM,scGBM,spectral,0.6098358274773855,4
scGBM,,,,,,,,,,score_long,scGBM,scGBM,stability_median,0.629440459246491,4
SSNMDI,,,,,,,,,,score_long,SSNMDI,SSNMDI,global,0.3241994824966703,5
SSNMDI,,,,,,,,,,score_long,SSNMDI,SSNMDI,kmeans,0.266730758858186,5
SSNMDI,,,,,,,,,,score_long,SSNMDI,SSNMDI,local,0.2755219951340961,5
SSNMDI,,,,,,,,,,score_long,SSNMDI,SSNMDI,louvain,0.2717893108939476,5
SSNMDI,,,,,,,,,,score_long,SSNMDI,SSNMDI,memory_score,0.7402755539306447,5
SSNMDI,,,,,,,,,,score_long,SSNMDI,SSNMDI,runtime_score,0.7210609722103707,5
SSNMDI,,,,,,,,,,score_long,SSNMDI,SSNMDI,spectral,0.2427437391087013,5
SSNMDI,,,,,,,,,,score_long,SSNMDI,SSNMDI,stability_median,0.1157900611119457,5
tGPLVM,,,,,,,,,,score_long,tGPLVM,tGPLVM,global,0.5475500834406869,6
tGPLVM,,,,,,,,,,score_long,tGPLVM,tGPLVM,kmeans,0.3393132312671147,6
tGPLVM,,,,,,,,,,score_long,tGPLVM,tGPLVM,local,0.3639310616077475,6
tGPLVM,,,,,,,,,,score_long,tGPLVM,tGPLVM,louvain,0.2963606005888994,6
tGPLVM,,,,,,,,,,score_long,tGPLVM,tGPLVM,memory_score,0.9362192146354886,6
